compound_id,label
ACT_0001,active
ACT_0002,active
ACT_0003,active
ACT_0004,active
ACT_0005,active
ACT_0006,active
ACT_0007,active
ACT_0008,active
ACT_0009,active
ACT_0010,active
ACT_0011,active
ACT_0012,active
ACT_0013,active
ACT_0014,active
ACT_0015,active
ACT_0016,active
ACT_0017,active
ACT_0018,active
ACT_0019,active
ACT_0020,active
ACT_0021,active
ACT_0022,active
ACT_0023,active
ACT_0024,active
ACT_0025,active
ACT_0026,active
ACT_0027,active
ACT_0028,active
ACT_0029,active
ACT_0030,active
ACT_0031,active
ACT_0032,active
ACT_0033,active
ACT_0034,active
ACT_0035,active
ACT_0036,active
ACT_0037,active
ACT_0038,active
ACT_0039,active
ACT_0040,active
ACT_0041,active
ACT_0042,active
ACT_0043,active
ACT_0044,active
ACT_0045,active
ACT_0046,active
ACT_0047,active
ACT_0048,active
ACT_0049,active
ACT_0050,active
ACT_0051,active
ACT_0052,active
ACT_0053,active
ACT_0054,active
ACT_0055,active
ACT_0056,active
ACT_0057,active
ACT_0058,active
ACT_0059,active
ACT_0060,active
ACT_0061,active
ACT_0062,active
ACT_0063,active
ACT_0064,active
ACT_0065,active
ACT_0066,active
ACT_0067,active
ACT_0068,active
ACT_0069,active
ACT_0070,active
ACT_0071,active
ACT_0072,active
ACT_0073,active
ACT_0074,active
ACT_0075,active
ACT_0076,active
ACT_0077,active
ACT_0078,active
ACT_0079,active
ACT_0080,active
ACT_0081,active
ACT_0082,active
ACT_0083,active
ACT_0084,active
ACT_0085,active
ACT_0086,active
ACT_0087,active
ACT_0088,active
ACT_0089,active
ACT_0090,active
ACT_0091,active
ACT_0092,active
ACT_0093,active
ACT_0094,active
ACT_0095,active
ACT_0096,active
ACT_0097,active
ACT_0098,active
ACT_0099,active
ACT_0100,active
ACT_0101,active
ACT_0102,active
ACT_0103,active
ACT_0104,active
ACT_0105,active
ACT_0106,active
ACT_0107,active
ACT_0108,active
ACT_0109,active
ACT_0110,active
ACT_0111,active
ACT_0112,active
ACT_0113,active
ACT_0114,active
ACT_0115,active
ACT_0116,active
ACT_0117,active
ACT_0118,active
ACT_0119,active
ACT_0120,active
ACT_0121,active
ACT_0122,active
ACT_0123,active
ACT_0124,active
ACT_0125,active
ACT_0126,active
ACT_0127,active
ACT_0128,active
ACT_0129,active
ACT_0130,active
ACT_0131,active
ACT_0132,active
ACT_0133,active
ACT_0134,active
ACT_0135,active
ACT_0136,active
ACT_0137,active
ACT_0138,active
ACT_0139,active
ACT_0140,active
ACT_0141,active
ACT_0142,active
ACT_0143,active
ACT_0144,active
ACT_0145,active
ACT_0146,active
ACT_0147,active
ACT_0148,active
ACT_0149,active
ACT_0150,active
ACT_0151,active
ACT_0152,active
ACT_0153,active
ACT_0154,active
ACT_0155,active
ACT_0156,active
ACT_0157,active
ACT_0158,active
ACT_0159,active
ACT_0160,active
ACT_0161,active
ACT_0162,active
ACT_0163,active
ACT_0164,active
ACT_0165,active
ACT_0166,active
ACT_0167,active
ACT_0168,active
ACT_0169,active
ACT_0170,active
ACT_0171,active
ACT_0172,active
ACT_0173,active
ACT_0174,active
ACT_0175,active
ACT_0176,active
ACT_0177,active
ACT_0178,active
ACT_0179,active
ACT_0180,active
ACT_0181,active
ACT_0182,active
ACT_0183,active
ACT_0184,active
ACT_0185,active
ACT_0186,active
ACT_0187,active
ACT_0188,active
ACT_0189,active
ACT_0190,active
ACT_0191,active
ACT_0192,active
ACT_0193,active
ACT_0194,active
ACT_0195,active
ACT_0196,active
ACT_0197,active
ACT_0198,active
ACT_0199,active
ACT_0200,active
ACT_0201,active
ACT_0202,active
ACT_0203,active
ACT_0204,active
ACT_0205,active
ACT_0206,active
ACT_0207,active
ACT_0208,active
ACT_0209,active
ACT_0210,active
ACT_0211,active
ACT_0212,active
ACT_0213,active
ACT_0214,active
ACT_0215,active
ACT_0216,active
ACT_0217,active
ACT_0218,active
ACT_0219,active
ACT_0220,active
ACT_0221,active
ACT_0222,active
ACT_0223,active
ACT_0224,active
ACT_0225,active
ACT_0226,active
ACT_0227,active
ACT_0228,active
ACT_0229,active
ACT_0230,active
ACT_0231,active
ACT_0232,active
ACT_0233,active
ACT_0234,active
ACT_0235,active
ACT_0236,active
ACT_0237,active
ACT_0238,active
ACT_0239,active
ACT_0240,active
ACT_0241,active
ACT_0242,active
ACT_0243,active
ACT_0244,active
ACT_0245,active
ACT_0246,active
ACT_0247,active
ACT_0248,active
ACT_0249,active
ACT_0250,active
ACT_0251,active
ACT_0252,active
ACT_0253,active
ACT_0254,active
ACT_0255,active
ACT_0256,active
ACT_0257,active
ACT_0258,active
ACT_0259,active
ACT_0260,active
ACT_0261,active
ACT_0262,active
ACT_0263,active
ACT_0264,active
ACT_0265,active
ACT_0266,active
ACT_0267,active
ACT_0268,active
ACT_0269,active
ACT_0270,active
ACT_0271,active
ACT_0272,active
ACT_0273,active
ACT_0274,active
ACT_0275,active
ACT_0276,active
ACT_0277,active
ACT_0278,active
ACT_0279,active
ACT_0280,active
ACT_0281,active
ACT_0282,active
ACT_0283,active
ACT_0284,active
ACT_0285,active
ACT_0286,active
ACT_0287,active
ACT_0288,active
ACT_0289,active
ACT_0290,active
ACT_0291,active
ACT_0292,active
ACT_0293,active
ACT_0294,active
ACT_0295,active
ACT_0296,active
ACT_0297,active
ACT_0298,active
ACT_0299,active
ACT_0300,active
ACT_0301,active
ACT_0302,active
ACT_0303,active
ACT_0304,active
ACT_0305,active
ACT_0306,active
ACT_0307,active
ACT_0308,active
ACT_0309,active
ACT_0310,active
ACT_0311,active
ACT_0312,active
ACT_0313,active
ACT_0314,active
ACT_0315,active
ACT_0316,active
ACT_0317,active
ACT_0318,active
ACT_0319,active
ACT_0320,active
ACT_0321,active
ACT_0322,active
ACT_0323,active
ACT_0324,active
ACT_0325,active
ACT_0326,active
ACT_0327,active
ACT_0328,active
ACT_0329,active
ACT_0330,active
ACT_0331,active
ACT_0332,active
ACT_0333,active
ACT_0334,active
ACT_0335,active
ACT_0336,active
ACT_0337,active
ACT_0338,active
ACT_0339,active
ACT_0340,active
ACT_0341,active
ACT_0342,active
ACT_0343,active
ACT_0344,active
ACT_0345,active
ACT_0346,active
ACT_0347,active
ACT_0348,active
ACT_0349,active
ACT_0350,active
ACT_0351,active
ACT_0352,active
ACT_0353,active
ACT_0354,active
ACT_0355,active
ACT_0356,active
ACT_0357,active
ACT_0358,active
ACT_0359,active
ACT_0360,active
ACT_0361,active
ACT_0362,active
ACT_0363,active
ACT_0364,active
ACT_0365,active
ACT_0366,active
ACT_0367,active
ACT_0368,active
ACT_0369,active
ACT_0370,active
ACT_0371,active
ACT_0372,active
ACT_0373,active
ACT_0374,active
ACT_0375,active
ACT_0376,active
ACT_0377,active
ACT_0378,active
ACT_0379,active
ACT_0380,active
ACT_0381,active
ACT_0382,active
ACT_0383,active
ACT_0384,active
ACT_0385,active
ACT_0386,active
ACT_0387,active
ACT_0388,active
ACT_0389,active
ACT_0390,active
ACT_0391,active
ACT_0392,active
ACT_0393,active
ACT_0394,active
ACT_0395,active
ACT_0396,active
ACT_0397,active
ACT_0398,active
ACT_0399,active
ACT_0400,active
ACT_0401,active
ACT_0402,active
ACT_0403,active
ACT_0404,active
ACT_0405,active
ACT_0406,active
ACT_0407,active
ACT_0408,active
ACT_0409,active
ACT_0410,active
ACT_0411,active
ACT_0412,active
ACT_0413,active
ACT_0414,active
ACT_0415,active
ACT_0416,active
ACT_0417,active
ACT_0418,active
ACT_0419,active
ACT_0420,active
ACT_0421,active
ACT_0422,active
ACT_0423,active
ACT_0424,active
ACT_0425,active
ACT_0426,active
ACT_0427,active
ACT_0428,active
ACT_0429,active
ACT_0430,active
ACT_0431,active
ACT_0432,active
ACT_0433,active
ACT_0434,active
ACT_0435,active
ACT_0436,active
ACT_0437,active
ACT_0438,active
ACT_0439,active
ACT_0440,active
ACT_0441,active
ACT_0442,active
ACT_0443,active
ACT_0444,active
ACT_0445,active
ACT_0446,active
ACT_0447,active
ACT_0448,active
ACT_0449,active
ACT_0450,active
ACT_0451,active
ACT_0452,active
ACT_0453,active
ACT_0454,active
ACT_0455,active
ACT_0456,active
ACT_0457,active
ACT_0458,active
ACT_0459,active
ACT_0460,active
ACT_0461,active
ACT_0462,active
ACT_0463,active
ACT_0464,active
ACT_0465,active
ACT_0466,active
ACT_0467,active
ACT_0468,active
ACT_0469,active
ACT_0470,active
ACT_0471,active
ACT_0472,active
ACT_0473,active
ACT_0474,active
ACT_0475,active
ACT_0476,active
ACT_0477,active
ACT_0478,active
ACT_0479,active
ACT_0480,active
ACT_0481,active
ACT_0482,active
ACT_0483,active
ACT_0484,active
ACT_0485,active
ACT_0486,active
ACT_0487,active
ACT_0488,active
ACT_0489,active
ACT_0490,active
ACT_0491,active
ACT_0492,active
ACT_0493,active
ACT_0494,active
ACT_0495,active
ACT_0496,active
ACT_0497,active
ACT_0498,active
ACT_0499,active
ACT_0500,active
ACT_0501,active
ACT_0502,active
ACT_0503,active
ACT_0504,active
ACT_0505,active
ACT_0506,active
ACT_0507,active
ACT_0508,active
