library,compound_id,label,MW,logP,HBD,HBA,TPSA,RotBonds,AromaticRings,HeavyAtoms,FormalCharge,QED,Fsp3,LipinskiViolations
fpr2_actives_chembl,CHEMBL210475,active,427.45200000000017,3.9239000000000024,2,4,80.42000000000002,3,2,29,0,0.7791596005981961,0.3888888888888889,0
fpr2_actives_chembl,CHEMBL380389,active,469.46700000000016,5.510400000000005,2,3,80.95000000000002,4,4,34,0,0.4135982843681803,0.20833333333333334,1
fpr2_actives_chembl,CHEMBL211555,active,420.3950000000001,3.752200000000002,2,4,93.84,4,3,30,0,0.672259497262742,0.2631578947368421,0
fpr2_actives_chembl,CHEMBL377163,active,405.54900000000015,3.6270000000000024,2,5,80.42,4,2,27,0,0.7614709229020807,0.3888888888888889,0
fpr2_actives_chembl,CHEMBL379762,active,447.56400000000014,5.213500000000003,2,4,80.95,5,4,32,0,0.4114701700345505,0.20833333333333334,1
fpr2_actives_chembl,CHEMBL211220,active,398.4920000000001,3.455300000000001,2,5,93.84,5,3,28,0,0.6421509844756381,0.2631578947368421,0
fpr2_actives_chembl,CHEMBL377130,active,393.90000000000015,3.558500000000002,2,4,80.42000000000002,3,2,26,0,0.8361270785380162,0.35294117647058826,0
fpr2_actives_chembl,CHEMBL210303,active,435.91500000000013,5.145000000000004,2,3,80.95000000000002,4,4,31,0,0.4650585224576499,0.17391304347826086,1
fpr2_actives_chembl,CHEMBL379853,active,386.8430000000001,3.386800000000002,2,4,93.84,4,3,27,0,0.7181977394610852,0.2222222222222222,0
fpr2_actives_chembl,CHEMBL378064,active,396.4660000000001,4.873820000000004,2,2,68.06,5,3,29,0,0.6457710691454573,0.2727272727272727,0
fpr2_actives_chembl,CHEMBL211595,active,396.4660000000001,4.565020000000003,2,2,68.06,3,3,29,0,0.6812034009232633,0.2727272727272727,0
fpr2_actives_chembl,CHEMBL211957,active,382.4390000000001,4.390920000000003,2,2,68.06,4,3,28,0,0.7026301176005094,0.23809523809523808,0
fpr2_actives_chembl,CHEMBL212113,active,368.41200000000003,3.829920000000002,2,2,68.06,4,3,27,0,0.7348682810002761,0.2,0
fpr2_actives_chembl,CHEMBL377226,active,398.8940000000001,4.770900000000003,2,2,68.06,3,3,28,0,0.6667396218185466,0.23809523809523808,0
fpr2_actives_chembl,CHEMBL379761,active,384.8670000000001,4.596800000000003,2,2,68.06,4,3,27,0,0.6899558358290409,0.2,0
fpr2_actives_chembl,CHEMBL209995,active,370.8400000000001,4.035800000000002,2,2,68.06,4,3,26,0,0.727447059339601,0.15789473684210525,0
fpr2_actives_chembl,CHEMBL209102,active,366.377,2.857120000000001,2,4,86.52000000000001,3,3,27,0,0.74626437474793,0.15789473684210525,0
fpr2_actives_chembl,CHEMBL212109,active,354.3850000000001,3.575940000000003,2,2,68.06,3,3,26,0,0.7548818906724108,0.15789473684210525,0
fpr2_actives_chembl,CHEMBL214216,active,368.46200000000005,3.8503200000000017,2,3,68.06,4,3,26,0,0.6874901478579138,0.15789473684210525,0
fpr2_actives_chembl,CHEMBL212116,active,347.37800000000004,3.0001000000000015,2,3,91.85000000000002,3,3,26,0,0.7627351602168668,0.10526315789473684,0
fpr2_actives_chembl,CHEMBL377642,active,352.39400000000006,3.1370200000000015,2,3,77.28999999999999,4,3,26,0,0.7571964501414411,0.15789473684210525,0
fpr2_actives_chembl,CHEMBL211885,active,390.36500000000007,4.147220000000003,2,2,68.06,3,3,28,0,0.7056389854135366,0.15789473684210525,0
fpr2_actives_chembl,CHEMBL378679,active,350.422,3.690820000000002,2,2,68.06,4,3,26,0,0.7533932069035668,0.2,0
fpr2_actives_chembl,CHEMBL450023,active,336.3950000000001,3.436840000000002,2,2,68.06,3,3,25,0,0.769202593372214,0.15789473684210525,0
fpr2_actives_chembl,CHEMBL378707,active,340.358,3.267520000000001,2,2,68.06,3,3,25,0,0.7682917610143183,0.1111111111111111,0
fpr2_actives_chembl,CHEMBL210298,active,356.81300000000005,3.7818200000000015,2,2,68.06,3,3,25,0,0.7494496342815324,0.1111111111111111,0
fpr2_actives_chembl,CHEMBL377969,active,401.2640000000001,3.890920000000002,2,2,68.06,3,3,25,0,0.6994205594231722,0.1111111111111111,0
fpr2_actives_chembl,CHEMBL208884,active,448.2640000000001,3.7330200000000016,2,2,68.06,3,3,25,0,0.60013902315091,0.1111111111111111,0
fpr2_actives_chembl,CHEMBL250143,active,374.44400000000013,4.003500000000003,1,3,63.150000000000006,3,4,28,0,0.5894290474388474,0.2727272727272727,0
fpr2_actives_chembl,CHEMBL400723,active,389.4590000000001,3.570800000000002,1,4,76.03999999999999,4,4,29,0,0.5789074548798502,0.3181818181818182,0
fpr2_actives_chembl,CHEMBL249742,active,386.4990000000001,4.729600000000004,1,2,53.92,4,4,29,0,0.5512219764128373,0.3333333333333333,0
fpr2_actives_chembl,CHEMBL249537,active,437.34100000000007,4.929700000000004,1,2,53.92,3,4,28,0,0.49433809012380175,0.2727272727272727,0
fpr2_actives_chembl,CHEMBL249338,active,376.43500000000006,4.306300000000004,1,2,53.92,3,4,28,0,0.579368808764934,0.2727272727272727,0
fpr2_actives_chembl,CHEMBL401314,active,388.4710000000001,4.175800000000002,1,3,63.15,4,4,29,0,0.57053173728763,0.30434782608695654,0
